,block,rank,val_score,test_score,tLDA_score,dataset,subject,session,n_features
0,1,"(1, 1)",0.9134922533606744,0.9510416666666666,0.9427083333333333,BNCI2014-009,1,0,1
1,2,"(2, 2)",0.9799319321029847,0.9656250000000001,0.9427083333333333,BNCI2014-009,1,0,5
2,3,"(2, 2)",0.9834640578719526,0.9723958333333333,0.9427083333333333,BNCI2014-009,1,0,9
3,4,"(2, 2)",0.982745357712463,0.9708333333333333,0.9427083333333333,BNCI2014-009,1,0,13
4,5,"(4, 4)",0.9869098883572567,0.9578125000000001,0.9427083333333333,BNCI2014-009,1,0,29
5,6,"(2, 2)",0.9866324903167009,0.9557291666666667,0.9427083333333333,BNCI2014-009,1,0,33
6,7,"(4, 4)",0.9854203691045795,0.9479166666666666,0.9427083333333333,BNCI2014-009,1,0,49
7,8,"(2, 2)",0.9839922248803827,0.9421875,0.9427083333333333,BNCI2014-009,1,0,53
8,9,"(2, 2)",0.9846674925951241,0.9390624999999999,0.9427083333333333,BNCI2014-009,1,0,57
9,10,"(4, 4)",0.9843298587377534,0.9442708333333333,0.9427083333333333,BNCI2014-009,1,0,73
10,11,"(4, 4)",0.9825982570061518,0.9322916666666667,0.9427083333333333,BNCI2014-009,1,0,89
11,12,"(2, 2)",0.982667179311916,0.9364583333333333,0.9427083333333333,BNCI2014-009,1,0,93
12,13,"(4, 4)",0.9801740145819092,0.9260416666666667,0.9427083333333333,BNCI2014-009,1,0,109
13,14,"(1, 1)",0.9798450672134884,0.9302083333333333,0.9427083333333333,BNCI2014-009,1,0,110
14,15,"(4, 4)",0.9832214057871953,0.9333333333333333,0.9427083333333333,BNCI2014-009,1,0,126
15,16,"(1, 1)",0.9824077238550923,0.9354166666666667,0.9427083333333333,BNCI2014-009,1,0,127
0,1,"(16, 16)",0.9321478521478521,0.9376208897485494,0.9550290135396517,BNCI2014-009,1,1,256
1,2,"(1, 1)",0.9477089577089576,0.9318181818181818,0.9550290135396517,BNCI2014-009,1,1,257
2,3,"(1, 1)",0.960979020979021,0.9472920696324952,0.9550290135396517,BNCI2014-009,1,1,258
3,4,"(1, 1)",0.9658374958374958,0.9414893617021277,0.9550290135396517,BNCI2014-009,1,1,259
4,5,"(2, 2)",0.9668364968364968,0.9356866537717602,0.9550290135396517,BNCI2014-009,1,1,263
5,6,"(1, 1)",0.9694338994338996,0.9332688588007737,0.9550290135396517,BNCI2014-009,1,1,264
6,7,"(4, 4)",0.972021312021312,0.9255319148936171,0.9550290135396517,BNCI2014-009,1,1,280
7,8,"(2, 2)",0.9677022977022978,0.9260154738878144,0.9550290135396517,BNCI2014-009,1,1,284
8,9,"(2, 2)",0.9672027972027972,0.9202127659574468,0.9550290135396517,BNCI2014-009,1,1,288
9,10,"(1, 1)",0.9668464868464868,0.9202127659574468,0.9550290135396517,BNCI2014-009,1,1,289
10,11,"(2, 2)",0.9680386280386282,0.9134429400386848,0.9550290135396517,BNCI2014-009,1,1,293
11,12,"(2, 2)",0.968904428904429,0.910541586073501,0.9550290135396517,BNCI2014-009,1,1,297
12,13,"(1, 1)",0.9696170496170498,0.9100580270793036,0.9550290135396517,BNCI2014-009,1,1,298
13,14,"(1, 1)",0.9702997002997004,0.9095744680851064,0.9550290135396517,BNCI2014-009,1,1,299
14,15,"(2, 2)",0.9685581085581086,0.900870406189555,0.9550290135396517,BNCI2014-009,1,1,303
15,16,"(1, 1)",0.9694239094239094,0.8989361702127661,0.9550290135396517,BNCI2014-009,1,1,304
0,1,"(2, 2)",0.9259841364775575,0.94375,0.9906250000000001,BNCI2014-009,1,2,4
1,2,"(1, 1)",0.9729788961038961,0.9713541666666667,0.9906250000000001,BNCI2014-009,1,2,5
2,3,"(4, 4)",0.9769355206197311,0.98125,0.9906250000000001,BNCI2014-009,1,2,21
3,4,"(4, 4)",0.9767971064023696,0.9848958333333333,0.9906250000000001,BNCI2014-009,1,2,37
4,5,"(2, 2)",0.9773941957165642,0.9869791666666666,0.9906250000000001,BNCI2014-009,1,2,41
5,6,"(8, 8)",0.9772905274550011,0.9802083333333333,0.9906250000000001,BNCI2014-009,1,2,105
6,7,"(4, 4)",0.9775673558897244,0.984375,0.9906250000000001,BNCI2014-009,1,2,121
7,8,"(8, 8)",0.9786497493734336,0.9729166666666667,0.9906250000000001,BNCI2014-009,1,2,185
8,9,"(1, 1)",0.9743641774891774,0.9755208333333333,0.9906250000000001,BNCI2014-009,1,2,186
9,10,"(4, 4)",0.9753944520391888,0.9776041666666666,0.9906250000000001,BNCI2014-009,1,2,202
10,11,"(1, 1)",0.9743728639781271,0.9703124999999999,0.9906250000000001,BNCI2014-009,1,2,203
11,12,"(2, 2)",0.9780613465481887,0.9723958333333333,0.9906250000000001,BNCI2014-009,1,2,207
12,13,"(1, 1)",0.9770136990202779,0.9708333333333333,0.9906250000000001,BNCI2014-009,1,2,208
13,14,"(4, 4)",0.9786931818181819,0.9651041666666667,0.9906250000000001,BNCI2014-009,1,2,224
14,15,"(1, 1)",0.9768144793802689,0.965625,0.9906250000000001,BNCI2014-009,1,2,225
15,16,"(4, 4)",0.9781823877876509,0.9635416666666666,0.9906250000000001,BNCI2014-009,1,2,241
0,1,"(16, 16)",0.9598100364547733,0.9697916666666666,0.9765625,BNCI2014-009,2,0,256
1,2,"(2, 2)",0.9645982854864433,0.9770833333333333,0.9765625,BNCI2014-009,2,0,260
2,3,"(4, 4)",0.9670051549327866,0.9822916666666666,0.9765625,BNCI2014-009,2,0,276
3,4,"(2, 2)",0.96940333789018,0.98125,0.9765625,BNCI2014-009,2,0,280
4,5,"(4, 4)",0.9694293973570289,0.9854166666666666,0.9765625,BNCI2014-009,2,0,296
5,6,"(4, 4)",0.9701741569833675,0.9869791666666666,0.9765625,BNCI2014-009,2,0,312
6,7,"(4, 4)",0.9722086466165413,0.984375,0.9765625,BNCI2014-009,2,0,328
7,8,"(4, 4)",0.9695249487354751,0.984375,0.9765625,BNCI2014-009,2,0,344
8,9,"(1, 1)",0.9661654135338346,0.9838541666666667,0.9765625,BNCI2014-009,2,0,345
9,10,"(1, 1)",0.964961978810663,0.9807291666666667,0.9765625,BNCI2014-009,2,0,346
10,11,"(2, 2)",0.9689186033264979,0.9807291666666667,0.9765625,BNCI2014-009,2,0,350
11,12,"(2, 2)",0.9685722829801777,0.9786458333333333,0.9765625,BNCI2014-009,2,0,354
12,13,"(4, 4)",0.9700525461380725,0.9812500000000001,0.9765625,BNCI2014-009,2,0,370
13,14,"(2, 2)",0.9722862554112555,0.9807291666666667,0.9765625,BNCI2014-009,2,0,374
14,15,"(2, 2)",0.9705720266575529,0.9781249999999999,0.9765625,BNCI2014-009,2,0,378
15,16,"(2, 2)",0.9701909603554342,0.9765625,0.9765625,BNCI2014-009,2,0,382
0,1,"(16, 16)",0.9617249417249418,0.9506769825918762,0.9540618955512572,BNCI2014-009,2,1,256
1,2,"(4, 4)",0.9826839826839826,0.9632495164410058,0.9540618955512572,BNCI2014-009,2,1,272
2,3,"(2, 2)",0.9823376623376625,0.9632495164410058,0.9540618955512572,BNCI2014-009,2,1,276
3,4,"(4, 4)",0.9863203463203464,0.9671179883945842,0.9540618955512572,BNCI2014-009,2,1,292
4,5,"(1, 1)",0.9840293040293041,0.9608317214700193,0.9540618955512572,BNCI2014-009,2,1,293
5,6,"(2, 2)",0.988031968031968,0.9526112185686653,0.9540618955512572,BNCI2014-009,2,1,297
6,7,"(2, 2)",0.9847419247419247,0.9482591876208898,0.9540618955512572,BNCI2014-009,2,1,301
7,8,"(1, 1)",0.9847419247419247,0.9487427466150871,0.9540618955512572,BNCI2014-009,2,1,302
8,9,"(2, 2)",0.9838861138861139,0.95357833655706,0.9540618955512572,BNCI2014-009,2,1,306
9,10,"(1, 1)",0.9793939393939393,0.9598646034816247,0.9540618955512572,BNCI2014-009,2,1,307
10,11,"(1, 1)",0.9821645021645022,0.9588974854932302,0.9540618955512572,BNCI2014-009,2,1,308
11,12,"(1, 1)",0.9821645021645022,0.9593810444874274,0.9540618955512572,BNCI2014-009,2,1,309
12,13,"(1, 1)",0.9799034299034298,0.9593810444874276,0.9540618955512572,BNCI2014-009,2,1,310
13,14,"(1, 1)",0.9785281385281385,0.9593810444874276,0.9540618955512572,BNCI2014-009,2,1,311
14,15,"(1, 1)",0.9802497502497503,0.9593810444874274,0.9540618955512572,BNCI2014-009,2,1,312
15,16,"(1, 1)",0.9804229104229105,0.9608317214700193,0.9540618955512572,BNCI2014-009,2,1,313
0,1,"(16, 16)",0.93660187400319,0.9296875,0.9776041666666667,BNCI2014-009,2,2,256
1,2,"(1, 1)",0.9549290840738209,0.9265625,0.9776041666666667,BNCI2014-009,2,2,257
2,3,"(2, 2)",0.9671881408065618,0.9317708333333333,0.9776041666666667,BNCI2014-009,2,2,261
3,4,"(1, 1)",0.970331083390294,0.9380208333333333,0.9776041666666667,BNCI2014-009,2,2,262
4,5,"(1, 1)",0.972053998632946,0.9421875,0.9776041666666667,BNCI2014-009,2,2,263
5,6,"(2, 2)",0.976244019138756,0.9401041666666665,0.9776041666666667,BNCI2014-009,2,2,267
6,7,"(2, 2)",0.974590595807701,0.9432291666666667,0.9776041666666667,BNCI2014-009,2,2,271
7,8,"(2, 2)",0.9733958475734792,0.9411458333333333,0.9776041666666667,BNCI2014-009,2,2,275
8,9,"(2, 2)",0.9732313738892687,0.9432291666666667,0.9776041666666667,BNCI2014-009,2,2,279
9,10,"(2, 2)",0.9711360788334474,0.9432291666666666,0.9776041666666667,BNCI2014-009,2,2,283
10,11,"(2, 2)",0.9714823991797676,0.9432291666666666,0.9776041666666667,BNCI2014-009,2,2,287
11,12,"(1, 1)",0.9703137104123944,0.9427083333333333,0.9776041666666667,BNCI2014-009,2,2,288
12,13,"(1, 1)",0.9696210697197538,0.9432291666666667,0.9776041666666667,BNCI2014-009,2,2,289
13,14,"(1, 1)",0.9682618478013214,0.9432291666666667,0.9776041666666667,BNCI2014-009,2,2,290
14,15,"(1, 1)",0.9694218500797449,0.9421875,0.9776041666666667,BNCI2014-009,2,2,291
15,16,"(1, 1)",0.970079744816587,0.9432291666666666,0.9776041666666667,BNCI2014-009,2,2,292
0,1,"(1, 1)",0.8357983025746185,0.7744791666666667,0.7364583333333333,BNCI2014-009,3,0,1
1,2,"(8, 8)",0.8578313681932104,0.7151041666666667,0.7364583333333333,BNCI2014-009,3,0,65
2,3,"(2, 2)",0.8406624515835042,0.7557291666666667,0.7364583333333333,BNCI2014-009,3,0,69
3,4,"(2, 2)",0.8606534802916382,0.7593749999999999,0.7364583333333333,BNCI2014-009,3,0,73
4,5,"(1, 1)",0.8790686944634313,0.7380208333333332,0.7364583333333333,BNCI2014-009,3,0,74
5,6,"(1, 1)",0.8982622750056961,0.7463541666666667,0.7364583333333333,BNCI2014-009,3,0,75
6,7,"(2, 2)",0.909049755069492,0.7442708333333333,0.7364583333333333,BNCI2014-009,3,0,79
7,8,"(1, 1)",0.9134656242879927,0.7354166666666666,0.7364583333333333,BNCI2014-009,3,0,80
8,9,"(4, 4)",0.9195864661654134,0.7416666666666667,0.7364583333333333,BNCI2014-009,3,0,96
9,10,"(1, 1)",0.9057683982683983,0.759375,0.7364583333333333,BNCI2014-009,3,0,97
10,11,"(4, 4)",0.9290066074276601,0.7479166666666667,0.7364583333333333,BNCI2014-009,3,0,113
11,12,"(4, 4)",0.9275865800865801,0.75625,0.7364583333333333,BNCI2014-009,3,0,129
12,13,"(2, 2)",0.9216915869218502,0.7567708333333333,0.7364583333333333,BNCI2014-009,3,0,133
13,14,"(1, 1)",0.9230849851902484,0.759375,0.7364583333333333,BNCI2014-009,3,0,134
14,15,"(1, 1)",0.9120727956254273,0.7713541666666666,0.7364583333333333,BNCI2014-009,3,0,135
15,16,"(2, 2)",0.9319422134882661,0.7749999999999999,0.7364583333333333,BNCI2014-009,3,0,139
0,1,"(16, 16)",0.9298401598401599,0.9613152804642167,0.9825918762088974,BNCI2014-009,3,1,256
1,2,"(1, 1)",0.9281485181485181,0.9642166344294003,0.9825918762088974,BNCI2014-009,3,1,257
2,3,"(8, 8)",0.9521545121545122,0.9637330754352031,0.9825918762088974,BNCI2014-009,3,1,321
3,4,"(2, 2)",0.9464102564102564,0.9676015473887816,0.9825918762088974,BNCI2014-009,3,1,325
4,5,"(4, 4)",0.9542957042957043,0.9676015473887815,0.9825918762088974,BNCI2014-009,3,1,341
5,6,"(4, 4)",0.9477355977355977,0.9690522243713733,0.9825918762088974,BNCI2014-009,3,1,357
6,7,"(4, 4)",0.9535497835497836,0.9777562862669246,0.9825918762088974,BNCI2014-009,3,1,373
7,8,"(4, 4)",0.9523376623376624,0.9777562862669247,0.9825918762088974,BNCI2014-009,3,1,389
8,9,"(8, 8)",0.9556576756576757,0.9690522243713733,0.9825918762088974,BNCI2014-009,3,1,453
9,10,"(4, 4)",0.9535664335664336,0.9695357833655707,0.9825918762088974,BNCI2014-009,3,1,469
10,11,"(4, 4)",0.9527139527139529,0.9685686653771761,0.9825918762088974,BNCI2014-009,3,1,485
11,12,"(4, 4)",0.9607359307359307,0.9685686653771761,0.9825918762088974,BNCI2014-009,3,1,501
12,13,"(1, 1)",0.9606027306027306,0.9690522243713733,0.9825918762088974,BNCI2014-009,3,1,502
13,14,"(2, 2)",0.9628737928737928,0.9680851063829787,0.9825918762088974,BNCI2014-009,3,1,506
14,15,"(2, 2)",0.9587812187812188,0.9661508704061896,0.9825918762088974,BNCI2014-009,3,1,510
15,16,"(2, 2)",0.9624675324675325,0.9642166344294004,0.9825918762088974,BNCI2014-009,3,1,514
0,1,"(16, 16)",0.9527034916837547,0.9598958333333334,0.9588541666666667,BNCI2014-009,3,2,256
1,2,"(1, 1)",0.9603312257917522,0.9703125,0.9588541666666667,BNCI2014-009,3,2,257
2,3,"(1, 1)",0.9596640749601276,0.9588541666666667,0.9588541666666667,BNCI2014-009,3,2,258
3,4,"(1, 1)",0.9732568637502848,0.9625,0.9588541666666667,BNCI2014-009,3,2,259
4,5,"(2, 2)",0.9811353668261564,0.9567708333333333,0.9588541666666667,BNCI2014-009,3,2,263
5,6,"(2, 2)",0.9800095408976988,0.9624999999999999,0.9588541666666667,BNCI2014-009,3,2,267
6,7,"(4, 4)",0.9793690191387562,0.9677083333333334,0.9588541666666667,BNCI2014-009,3,2,283
7,8,"(1, 1)",0.9812390350877193,0.9677083333333333,0.9588541666666667,BNCI2014-009,3,2,284
8,9,"(2, 2)",0.9793255866940077,0.9640625,0.9588541666666667,BNCI2014-009,3,2,288
9,10,"(2, 2)",0.9783474310776942,0.9598958333333333,0.9588541666666667,BNCI2014-009,3,2,292
10,11,"(2, 2)",0.9798450672134884,0.9588541666666668,0.9588541666666667,BNCI2014-009,3,2,296
11,12,"(2, 2)",0.9793082137161084,0.9614583333333334,0.9588541666666667,BNCI2014-009,3,2,300
12,13,"(4, 4)",0.9786155730234679,0.9619791666666667,0.9588541666666667,BNCI2014-009,3,2,316
13,14,"(1, 1)",0.9779142458418774,0.9609375,0.9588541666666667,BNCI2014-009,3,2,317
14,15,"(4, 4)",0.9741394679881521,0.9583333333333333,0.9588541666666667,BNCI2014-009,3,2,333
15,16,"(4, 4)",0.9757065960355433,0.9609375,0.9588541666666667,BNCI2014-009,3,2,349
0,1,"(2, 2)",0.9502711323763954,0.9713541666666666,0.9645833333333333,BNCI2014-009,4,0,4
1,2,"(2, 2)",0.9848059068124858,0.9744791666666667,0.9645833333333333,BNCI2014-009,4,0,8
2,3,"(1, 1)",0.9828832023239918,0.9770833333333333,0.9645833333333333,BNCI2014-009,4,0,9
3,4,"(2, 2)",0.9897835497835498,0.9651041666666667,0.9645833333333333,BNCI2014-009,4,0,13
4,5,"(2, 2)",0.9922077922077921,0.9578125,0.9645833333333333,BNCI2014-009,4,0,17
5,6,"(1, 1)",0.9935930735930736,0.959375,0.9645833333333333,BNCI2014-009,4,0,18
6,7,"(1, 1)",0.9948051948051948,0.9520833333333334,0.9645833333333333,BNCI2014-009,4,0,19
7,8,"(4, 4)",0.9927359592162223,0.9500000000000001,0.9645833333333333,BNCI2014-009,4,0,35
8,9,"(1, 1)",0.9917143711551606,0.9526041666666667,0.9645833333333333,BNCI2014-009,4,0,36
9,10,"(1, 1)",0.9927793916609705,0.9552083333333333,0.9645833333333333,BNCI2014-009,4,0,37
10,11,"(1, 1)",0.9920780644793803,0.9567708333333333,0.9645833333333333,BNCI2014-009,4,0,38
11,12,"(4, 4)",0.9911948906356802,0.9453125,0.9645833333333333,BNCI2014-009,4,0,54
12,13,"(2, 2)",0.992415698336751,0.9479166666666667,0.9645833333333333,BNCI2014-009,4,0,58
13,14,"(2, 2)",0.9941299270904533,0.946875,0.9645833333333333,BNCI2014-009,4,0,62
14,15,"(2, 2)",0.9936104465709729,0.946875,0.9645833333333333,BNCI2014-009,4,0,66
15,16,"(2, 2)",0.9943030872636136,0.9473958333333334,0.9645833333333333,BNCI2014-009,4,0,70
0,1,"(1, 1)",0.9311255411255411,0.9622823984526112,0.9632495164410059,BNCI2014-009,4,1,1
1,2,"(2, 2)",0.9684981684981684,0.968568665377176,0.9632495164410059,BNCI2014-009,4,1,5
2,3,"(1, 1)",0.9763503163503164,0.9729206963249516,0.9632495164410059,BNCI2014-009,4,1,6
3,4,"(4, 4)",0.9857708957708958,0.975338491295938,0.9632495164410059,BNCI2014-009,4,1,22
4,5,"(1, 1)",0.9828071928071929,0.9792069632495165,0.9632495164410059,BNCI2014-009,4,1,23
5,6,"(1, 1)",0.985068265068265,0.9796905222437137,0.9632495164410059,BNCI2014-009,4,1,24
6,7,"(2, 2)",0.9906293706293706,0.9758220502901355,0.9632495164410059,BNCI2014-009,4,1,28
7,8,"(1, 1)",0.9908957708957707,0.9806576402321083,0.9632495164410059,BNCI2014-009,4,1,29
8,9,"(1, 1)",0.9895604395604396,0.9777562862669246,0.9632495164410059,BNCI2014-009,4,1,30
9,10,"(4, 4)",0.9902630702630703,0.9772727272727273,0.9632495164410059,BNCI2014-009,4,1,46
10,11,"(4, 4)",0.9919946719946721,0.9709864603481625,0.9632495164410059,BNCI2014-009,4,1,62
11,12,"(4, 4)",0.9888877788877789,0.9676015473887815,0.9632495164410059,BNCI2014-009,4,1,78
12,13,"(2, 2)",0.9878088578088577,0.9680851063829787,0.9632495164410059,BNCI2014-009,4,1,82
13,14,"(4, 4)",0.9888478188478187,0.9700193423597679,0.9632495164410059,BNCI2014-009,4,1,98
14,15,"(4, 4)",0.9898368298368296,0.9637330754352031,0.9632495164410059,BNCI2014-009,4,1,114
15,16,"(4, 4)",0.99001998001998,0.9651837524177951,0.9632495164410059,BNCI2014-009,4,1,130
0,1,"(2, 2)",0.9355160628844839,0.94375,0.9541666666666666,BNCI2014-009,4,2,4
1,2,"(2, 2)",0.9643724367737526,0.9515625000000001,0.9541666666666666,BNCI2014-009,4,2,8
2,3,"(2, 2)",0.974380980861244,0.96875,0.9541666666666666,BNCI2014-009,4,2,12
3,4,"(2, 2)",0.9823376623376623,0.96875,0.9541666666666666,BNCI2014-009,4,2,16
4,5,"(2, 2)",0.9821731886534518,0.9708333333333332,0.9541666666666666,BNCI2014-009,4,2,20
5,6,"(4, 4)",0.9868398268398269,0.9692708333333333,0.9541666666666666,BNCI2014-009,4,2,36
6,7,"(8, 8)",0.9836019024834813,0.9604166666666667,0.9541666666666666,BNCI2014-009,4,2,100
7,8,"(4, 4)",0.9870564194577354,0.9609375,0.9541666666666666,BNCI2014-009,4,2,116
8,9,"(2, 2)",0.9832121496924128,0.95625,0.9541666666666666,BNCI2014-009,4,2,120
9,10,"(4, 4)",0.9841126965140123,0.9531249999999999,0.9541666666666666,BNCI2014-009,4,2,136
10,11,"(1, 1)",0.9846929824561403,0.9463541666666667,0.9541666666666666,BNCI2014-009,4,2,137
11,12,"(1, 1)",0.9839569093187513,0.94375,0.9541666666666666,BNCI2014-009,4,2,138
12,13,"(4, 4)",0.9834374287992709,0.9369791666666666,0.9541666666666666,BNCI2014-009,4,2,154
13,14,"(1, 1)",0.9817405730234677,0.9395833333333333,0.9541666666666666,BNCI2014-009,4,2,155
14,15,"(4, 4)",0.9822339940760993,0.9328125,0.9541666666666666,BNCI2014-009,4,2,171
15,16,"(2, 2)",0.9791344839371154,0.9380208333333333,0.9541666666666666,BNCI2014-009,4,2,175
0,1,"(1, 1)",0.9775071200729094,0.953125,0.9838541666666667,BNCI2014-009,5,0,1
1,2,"(1, 1)",0.9853856231487811,0.9708333333333332,0.9838541666666667,BNCI2014-009,5,0,2
2,3,"(1, 1)",0.9876367053998634,0.9697916666666667,0.9838541666666667,BNCI2014-009,5,0,3
3,4,"(4, 4)",0.9898877876509455,0.9859374999999999,0.9838541666666667,BNCI2014-009,5,0,19
4,5,"(8, 8)",0.9861130097972204,0.9770833333333333,0.9838541666666667,BNCI2014-009,5,0,83
5,6,"(4, 4)",0.9835242936887674,0.9833333333333334,0.9838541666666667,BNCI2014-009,5,0,99
6,7,"(8, 8)",0.9843900945545683,0.9838541666666667,0.9838541666666667,BNCI2014-009,5,0,163
7,8,"(4, 4)",0.9864680166324904,0.9802083333333333,0.9838541666666667,BNCI2014-009,5,0,179
8,9,"(1, 1)",0.9880003987240829,0.9822916666666666,0.9838541666666667,BNCI2014-009,5,0,180
9,10,"(4, 4)",0.987134597858282,0.9838541666666667,0.9838541666666667,BNCI2014-009,5,0,196
10,11,"(2, 2)",0.9871432843472316,0.9859374999999999,0.9838541666666667,BNCI2014-009,5,0,200
11,12,"(2, 2)",0.9871259113693325,0.984375,0.9838541666666667,BNCI2014-009,5,0,204
12,13,"(4, 4)",0.9872903850535429,0.984375,0.9838541666666667,BNCI2014-009,5,0,220
13,14,"(2, 2)",0.9846929824561403,0.984375,0.9838541666666667,BNCI2014-009,5,0,224
14,15,"(4, 4)",0.9857493164730006,0.9833333333333334,0.9838541666666667,BNCI2014-009,5,0,240
15,16,"(2, 2)",0.9854029961266804,0.9776041666666666,0.9838541666666667,BNCI2014-009,5,0,244
0,1,"(1, 1)",0.9445787545787546,0.9647001934235977,0.9874274661508704,BNCI2014-009,5,1,1
1,2,"(2, 2)",0.9660239760239759,0.9709864603481625,0.9874274661508704,BNCI2014-009,5,1,5
2,3,"(1, 1)",0.9772660672660672,0.9787234042553192,0.9874274661508704,BNCI2014-009,5,1,6
3,4,"(4, 4)",0.9839227439227439,0.9738878143133461,0.9874274661508704,BNCI2014-009,5,1,22
4,5,"(2, 2)",0.9836696636696637,0.9840425531914894,0.9874274661508704,BNCI2014-009,5,1,26
5,6,"(2, 2)",0.9855944055944056,0.9821083172147002,0.9874274661508704,BNCI2014-009,5,1,30
6,7,"(2, 2)",0.9868265068265067,0.9821083172147002,0.9874274661508704,BNCI2014-009,5,1,34
7,8,"(1, 1)",0.986100566100566,0.9801740812379109,0.9874274661508704,BNCI2014-009,5,1,35
8,9,"(1, 1)",0.9871828171828172,0.9748549323017408,0.9874274661508704,BNCI2014-009,5,1,36
9,10,"(4, 4)",0.9884748584748586,0.9806576402321083,0.9874274661508704,BNCI2014-009,5,1,52
10,11,"(4, 4)",0.9853479853479854,0.9729206963249516,0.9874274661508704,BNCI2014-009,5,1,68
11,12,"(4, 4)",0.9835664335664337,0.9705029013539652,0.9874274661508704,BNCI2014-009,5,1,84
12,13,"(4, 4)",0.9837795537795537,0.9724371373307544,0.9874274661508704,BNCI2014-009,5,1,100
13,14,"(2, 2)",0.9818847818847818,0.9680851063829787,0.9874274661508704,BNCI2014-009,5,1,104
14,15,"(2, 2)",0.9817515817515817,0.9724371373307543,0.9874274661508704,BNCI2014-009,5,1,108
15,16,"(2, 2)",0.9813852813852815,0.9705029013539652,0.9874274661508704,BNCI2014-009,5,1,112
0,1,"(1, 1)",0.9503666837548416,0.9385416666666666,0.953125,BNCI2014-009,5,2,1
1,2,"(2, 2)",0.9863556618819777,0.9526041666666667,0.953125,BNCI2014-009,5,2,5
2,3,"(2, 2)",0.9842348769651401,0.95,0.953125,BNCI2014-009,5,2,9
3,4,"(2, 2)",0.9895072909546594,0.9666666666666667,0.953125,BNCI2014-009,5,2,13
4,5,"(2, 2)",0.9889183185235815,0.9666666666666667,0.953125,BNCI2014-009,5,2,17
5,6,"(2, 2)",0.9892993848257007,0.9666666666666667,0.953125,BNCI2014-009,5,2,21
6,7,"(4, 4)",0.9903209728867622,0.9640625,0.953125,BNCI2014-009,5,2,37
7,8,"(1, 1)",0.9894551720209614,0.9567708333333333,0.953125,BNCI2014-009,5,2,38
8,9,"(4, 4)",0.9895935862383232,0.9541666666666667,0.953125,BNCI2014-009,5,2,54
9,10,"(2, 2)",0.9872214627477784,0.9541666666666666,0.953125,BNCI2014-009,5,2,58
10,11,"(8, 8)",0.9865983139667349,0.946875,0.953125,BNCI2014-009,5,2,122
11,12,"(2, 2)",0.9857064536340852,0.9520833333333333,0.953125,BNCI2014-009,5,2,126
