,dataset,condition,label,evoked,subject,evoked_path
155,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A12,evokeds/CVSA-ERP/A12_split ($d=3$)_distractor.fif
156,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=235), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_overt_non-target.fif
157,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=48), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_overt_target.fif
158,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=277), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_covert_non-target.fif
159,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=53), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_covert_target.fif
160,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=349), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=1$)_non-target.fif
161,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=87), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=1$)_distractor.fif
162,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=83), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=1$)_target.fif
163,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=371), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=2$)_non-target.fif
164,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=94), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=2$)_distractor.fif
165,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=95), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=2$)_target.fif
166,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=147), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=3$)_non-target.fif
167,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=45), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=3$)_target.fif
168,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=41), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A14,evokeds/CVSA-ERP/A14_split ($d=3$)_distractor.fif
169,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=260), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_overt_non-target.fif
170,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=52), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_overt_target.fif
171,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=221), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_covert_non-target.fif
172,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=43), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_covert_target.fif
173,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=343), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=1$)_non-target.fif
174,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=80), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=1$)_target.fif
175,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=90), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=1$)_distractor.fif
176,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=398), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=2$)_non-target.fif
177,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=93), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=2$)_distractor.fif
178,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=101), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=2$)_target.fif
179,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=51), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=3$)_distractor.fif
180,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=52), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=3$)_target.fif
181,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=205), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A03,evokeds/CVSA-ERP/A03_split ($d=3$)_non-target.fif
182,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_overt_non-target.fif
183,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_overt_target.fif
184,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_covert_non-target.fif
185,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_covert_target.fif
186,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=480), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=1$)_non-target.fif
187,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=1$)_distractor.fif
188,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=1$)_target.fif
189,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=2$)_target.fif
190,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=480), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=2$)_non-target.fif
191,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=2$)_distractor.fif
192,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=240), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=3$)_non-target.fif
193,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=3$)_distractor.fif
194,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A16,evokeds/CVSA-ERP/A16_split ($d=3$)_target.fif
195,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1425), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A08,evokeds/BNCI2014-009/A08_covert_non-target.fif
196,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=286), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A08,evokeds/BNCI2014-009/A08_covert_target.fif
197,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1439), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A08,evokeds/BNCI2014-009/A08_overt_non-target.fif
198,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A08,evokeds/BNCI2014-009/A08_overt_target.fif
199,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1338), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A10,evokeds/BNCI2014-009/A10_covert_non-target.fif
200,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=252), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A10,evokeds/BNCI2014-009/A10_covert_target.fif
201,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1389), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A10,evokeds/BNCI2014-009/A10_overt_non-target.fif
202,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=272), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A10,evokeds/BNCI2014-009/A10_overt_target.fif
203,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A06,evokeds/BNCI2014-009/A06_covert_non-target.fif
204,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A06,evokeds/BNCI2014-009/A06_covert_target.fif
205,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A06,evokeds/BNCI2014-009/A06_overt_non-target.fif
206,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A06,evokeds/BNCI2014-009/A06_overt_target.fif
207,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1393), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A07,evokeds/BNCI2014-009/A07_covert_non-target.fif
208,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=274), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A07,evokeds/BNCI2014-009/A07_covert_target.fif
209,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1393), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A07,evokeds/BNCI2014-009/A07_overt_non-target.fif
210,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=276), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A07,evokeds/BNCI2014-009/A07_overt_target.fif
211,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1428), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A05,evokeds/BNCI2014-009/A05_covert_non-target.fif
212,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=287), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A05,evokeds/BNCI2014-009/A05_covert_target.fif
213,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1392), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A05,evokeds/BNCI2014-009/A05_overt_non-target.fif
214,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=272), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A05,evokeds/BNCI2014-009/A05_overt_target.fif
215,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1428), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A04,evokeds/BNCI2014-009/A04_covert_non-target.fif
216,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=286), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A04,evokeds/BNCI2014-009/A04_covert_target.fif
217,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1415), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A04,evokeds/BNCI2014-009/A04_overt_non-target.fif
218,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=281), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A04,evokeds/BNCI2014-009/A04_overt_target.fif
219,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A02,evokeds/BNCI2014-009/A02_covert_non-target.fif
220,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A02,evokeds/BNCI2014-009/A02_covert_target.fif
221,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A02,evokeds/BNCI2014-009/A02_overt_non-target.fif
222,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A02,evokeds/BNCI2014-009/A02_overt_target.fif
223,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1422), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A09,evokeds/BNCI2014-009/A09_covert_non-target.fif
224,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=285), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A09,evokeds/BNCI2014-009/A09_covert_target.fif
225,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1403), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A09,evokeds/BNCI2014-009/A09_overt_non-target.fif
226,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=278), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A09,evokeds/BNCI2014-009/A09_overt_target.fif
227,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1391), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A03,evokeds/BNCI2014-009/A03_covert_non-target.fif
228,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=275), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A03,evokeds/BNCI2014-009/A03_covert_target.fif
229,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1402), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A03,evokeds/BNCI2014-009/A03_overt_non-target.fif
230,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=278), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A03,evokeds/BNCI2014-009/A03_overt_target.fif
231,BNCI2014-009,covert,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A01,evokeds/BNCI2014-009/A01_covert_non-target.fif
232,BNCI2014-009,covert,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A01,evokeds/BNCI2014-009/A01_covert_target.fif
233,BNCI2014-009,overt,non-target,"<Evoked | 'non-target' (average, N=1440), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A01,evokeds/BNCI2014-009/A01_overt_non-target.fif
234,BNCI2014-009,overt,target,"<Evoked | 'target' (average, N=288), -0.19531 – 1 s, baseline -0.2 – 0 s, 16 ch, ~50 kB>",A01,evokeds/BNCI2014-009/A01_overt_target.fif
