,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
0,0.02816462516784668,0.0038912296295166016,0.7853535353535354,PA01,01,cvsa,,,ica,,,,,overt,tLDA
1,0.029967069625854492,0.003680706024169922,0.5353535353535354,PA01,01,cvsa,,,ica,,,,,overt,tLDA
2,0.029931068420410156,0.0036258697509765625,0.6338383838383839,PA01,01,cvsa,,,ica,,,,,overt,tLDA
3,0.02986907958984375,0.00357818603515625,0.7171717171717171,PA01,01,cvsa,,,ica,,,,,overt,tLDA
4,0.02971816062927246,0.0036182403564453125,0.5959595959595959,PA01,01,cvsa,,,ica,,,,,overt,tLDA
5,0.03890085220336914,0.004086494445800781,0.8777777777777778,PA01,01,cvsa,,,ica,,,,,overt,tLDA
6,0.04140782356262207,0.00524449348449707,0.7583333333333333,PA01,01,cvsa,,,ica,,,,,overt,tLDA
7,0.04518485069274902,0.003907203674316406,0.6027777777777777,PA01,01,cvsa,,,ica,,,,,overt,tLDA
8,0.043152570724487305,0.003671407699584961,0.5,PA01,01,cvsa,,,ica,,,,,overt,tLDA
9,0.033158302307128906,0.0039730072021484375,0.6988636363636364,PA01,01,cvsa,,,ica,,,,,overt,tLDA
20,0.03045177459716797,0.003891468048095703,0.4419191919191919,PA01,01,cvsa,,,ica,,,,,covert,tLDA
21,0.03022623062133789,0.0037407875061035156,0.5227272727272727,PA01,01,cvsa,,,ica,,,,,covert,tLDA
22,0.03070855140686035,0.003983974456787109,0.755050505050505,PA01,01,cvsa,,,ica,,,,,covert,tLDA
23,0.030359268188476562,0.003686189651489258,0.7222222222222222,PA01,01,cvsa,,,ica,,,,,covert,tLDA
24,0.031075000762939453,0.003782510757446289,0.6022727272727273,PA01,01,cvsa,,,ica,,,,,covert,tLDA
25,0.030832290649414062,0.003612041473388672,0.6789772727272727,PA01,01,cvsa,,,ica,,,,,covert,tLDA
26,0.03022933006286621,0.003728628158569336,0.6051136363636365,PA01,01,cvsa,,,ica,,,,,covert,tLDA
27,0.030321359634399414,0.003645181655883789,0.48863636363636365,PA01,01,cvsa,,,ica,,,,,covert,tLDA
28,0.030836820602416992,0.004292011260986328,0.5116279069767442,PA01,01,cvsa,,,ica,,,,,covert,tLDA
29,0.0294191837310791,0.004047393798828125,0.6821705426356589,PA01,01,cvsa,,,ica,,,,,covert,tLDA
40,0.030968666076660156,0.003889799118041992,0.712121212121212,PA01,01,cvsa,,,ica,,,,,free,tLDA
41,0.03078317642211914,0.0038111209869384766,0.6287878787878788,PA01,01,cvsa,,,ica,,,,,free,tLDA
42,0.031322479248046875,0.003832101821899414,0.7878787878787878,PA01,01,cvsa,,,ica,,,,,free,tLDA
43,0.030778169631958008,0.003812551498413086,0.611111111111111,PA01,01,cvsa,,,ica,,,,,free,tLDA
44,0.03033161163330078,0.0046367645263671875,0.5738636363636364,PA01,01,cvsa,,,ica,,,,,free,tLDA
45,0.034708499908447266,0.003841400146484375,0.8522727272727273,PA01,01,cvsa,,,ica,,,,,free,tLDA
46,0.03117084503173828,0.004000186920166016,0.7045454545454546,PA01,01,cvsa,,,ica,,,,,free,tLDA
47,0.031033992767333984,0.003772258758544922,0.813953488372093,PA01,01,cvsa,,,ica,,,,,free,tLDA
48,0.04013395309448242,0.0038785934448242188,0.648578811369509,PA01,01,cvsa,,,ica,,,,,free,tLDA
49,0.031162261962890625,0.0037994384765625,0.6408268733850129,PA01,01,cvsa,,,ica,,,,,free,tLDA
60,0.02249598503112793,0.004037380218505859,0.7751937984496124,PB01,01,cvsa,,,ica,,,,,overt,tLDA
61,0.029808521270751953,0.0036928653717041016,0.7751937984496124,PB01,01,cvsa,,,ica,,,,,overt,tLDA
62,0.030315160751342773,0.0036568641662597656,0.9819121447028424,PB01,01,cvsa,,,ica,,,,,overt,tLDA
63,0.030495643615722656,0.003772258758544922,0.9354005167958657,PB01,01,cvsa,,,ica,,,,,overt,tLDA
64,0.030825138092041016,0.0038230419158935547,0.9819121447028424,PB01,01,cvsa,,,ica,,,,,overt,tLDA
65,0.04443359375,0.003831624984741211,0.8630490956072351,PB01,01,cvsa,,,ica,,,,,overt,tLDA
66,0.04208087921142578,0.0038161277770996094,0.9328165374677002,PB01,01,cvsa,,,ica,,,,,overt,tLDA
67,0.033142805099487305,0.003916740417480469,0.9121447028423773,PB01,01,cvsa,,,ica,,,,,overt,tLDA
68,0.04067206382751465,0.003831148147583008,0.9761904761904762,PB01,01,cvsa,,,ica,,,,,overt,tLDA
69,0.03325819969177246,0.0041506290435791016,0.9470899470899471,PB01,01,cvsa,,,ica,,,,,overt,tLDA
80,0.032013893127441406,0.003969907760620117,0.6744186046511628,PB01,01,cvsa,,,ica,,,,,covert,tLDA
81,0.03195476531982422,0.0040056705474853516,0.45348837209302334,PB01,01,cvsa,,,ica,,,,,covert,tLDA
82,0.03156590461730957,0.00398564338684082,0.7616279069767442,PB01,01,cvsa,,,ica,,,,,covert,tLDA
83,0.03167152404785156,0.00439763069152832,0.7202380952380952,PB01,01,cvsa,,,ica,,,,,covert,tLDA
84,0.03175759315490723,0.004469156265258789,0.7261904761904762,PB01,01,cvsa,,,ica,,,,,covert,tLDA
85,0.03175067901611328,0.0039017200469970703,0.7767857142857142,PB01,01,cvsa,,,ica,,,,,covert,tLDA
86,0.0321042537689209,0.003993511199951172,0.7232142857142858,PB01,01,cvsa,,,ica,,,,,covert,tLDA
87,0.03207898139953613,0.00437474250793457,0.7940199335548173,PB01,01,cvsa,,,ica,,,,,covert,tLDA
88,0.03183603286743164,0.0039000511169433594,0.6843853820598007,PB01,01,cvsa,,,ica,,,,,covert,tLDA
89,0.03180956840515137,0.0039136409759521484,0.6843853820598006,PB01,01,cvsa,,,ica,,,,,covert,tLDA
100,0.03320002555847168,0.004069805145263672,0.9500000000000001,PB01,01,cvsa,,,ica,,,,,free,tLDA
101,0.032949209213256836,0.004047870635986328,0.7138888888888888,PB01,01,cvsa,,,ica,,,,,free,tLDA
102,0.04364824295043945,0.00411534309387207,0.9777777777777777,PB01,01,cvsa,,,ica,,,,,free,tLDA
103,0.03394055366516113,0.004083156585693359,0.9416666666666667,PB01,01,cvsa,,,ica,,,,,free,tLDA
104,0.03343081474304199,0.004436016082763672,0.9722222222222222,PB01,01,cvsa,,,ica,,,,,free,tLDA
105,0.03356504440307617,0.0040435791015625,0.8737373737373737,PB01,01,cvsa,,,ica,,,,,free,tLDA
106,0.033507585525512695,0.00406956672668457,0.9318181818181819,PB01,01,cvsa,,,ica,,,,,free,tLDA
107,0.0333552360534668,0.004495382308959961,0.9646464646464646,PB01,01,cvsa,,,ica,,,,,free,tLDA
108,0.03344416618347168,0.004033088684082031,0.9494949494949495,PB01,01,cvsa,,,ica,,,,,free,tLDA
109,0.033312082290649414,0.004048347473144531,0.9368686868686869,PB01,01,cvsa,,,ica,,,,,free,tLDA
120,0.025757551193237305,0.003900766372680664,0.7676767676767676,PB02,01,cvsa,,,ica,,,,,overt,tLDA
121,0.031246185302734375,0.0038521289825439453,0.6515151515151515,PB02,01,cvsa,,,ica,,,,,overt,tLDA
122,0.03153252601623535,0.003919124603271484,0.8207070707070706,PB02,01,cvsa,,,ica,,,,,overt,tLDA
123,0.03989243507385254,0.0039293766021728516,0.9744318181818181,PB02,01,cvsa,,,ica,,,,,overt,tLDA
124,0.0341494083404541,0.004006385803222656,0.9403409090909091,PB02,01,cvsa,,,ica,,,,,overt,tLDA
125,0.03243088722229004,0.004361629486083984,0.8409090909090909,PB02,01,cvsa,,,ica,,,,,overt,tLDA
126,0.03258466720581055,0.004040956497192383,0.8294573643410852,PB02,01,cvsa,,,ica,,,,,overt,tLDA
127,0.03264570236206055,0.004013538360595703,0.8294573643410854,PB02,01,cvsa,,,ica,,,,,overt,tLDA
128,0.03447580337524414,0.004044294357299805,0.8217054263565892,PB02,01,cvsa,,,ica,,,,,overt,tLDA
129,0.03309440612792969,0.003996610641479492,0.8449612403100776,PB02,01,cvsa,,,ica,,,,,overt,tLDA
140,0.034445762634277344,0.004083871841430664,0.7855297157622738,PB02,01,cvsa,,,ica,,,,,covert,tLDA
141,0.03397321701049805,0.004594564437866211,0.6098191214470284,PB02,01,cvsa,,,ica,,,,,covert,tLDA
142,0.06060647964477539,0.0045185089111328125,0.607235142118863,PB02,01,cvsa,,,ica,,,,,covert,tLDA
143,0.03299570083618164,0.004149198532104492,0.5167958656330749,PB02,01,cvsa,,,ica,,,,,covert,tLDA
144,0.041036367416381836,0.005079030990600586,0.6459948320413437,PB02,01,cvsa,,,ica,,,,,covert,tLDA
145,0.03233671188354492,0.003650665283203125,0.5943152454780362,PB02,01,cvsa,,,ica,,,,,covert,tLDA
146,0.042722225189208984,0.004183530807495117,0.6453488372093024,PB02,01,cvsa,,,ica,,,,,covert,tLDA
147,0.058019399642944336,0.004586458206176758,0.7703488372093024,PB02,01,cvsa,,,ica,,,,,covert,tLDA
148,0.06537127494812012,0.00422215461730957,0.4215116279069767,PB02,01,cvsa,,,ica,,,,,covert,tLDA
149,0.06175541877746582,0.004259824752807617,0.5873015873015873,PB02,01,cvsa,,,ica,,,,,covert,tLDA
160,0.03733038902282715,0.004333972930908203,0.8477272727272727,PB02,01,cvsa,,,ica,,,,,free,tLDA
161,0.03830432891845703,0.004706859588623047,0.6863636363636364,PB02,01,cvsa,,,ica,,,,,free,tLDA
162,0.03671908378601074,0.004416704177856445,0.8863636363636362,PB02,01,cvsa,,,ica,,,,,free,tLDA
163,0.03570294380187988,0.0044825077056884766,0.8156565656565656,PB02,01,cvsa,,,ica,,,,,free,tLDA
164,0.06872367858886719,0.0043222904205322266,0.5732323232323232,PB02,01,cvsa,,,ica,,,,,free,tLDA
165,0.07553219795227051,0.004357099533081055,0.8888888888888888,PB02,01,cvsa,,,ica,,,,,free,tLDA
166,0.03943967819213867,0.00439143180847168,0.7558139534883721,PB02,01,cvsa,,,ica,,,,,free,tLDA
167,0.03558707237243652,0.0042209625244140625,0.8186046511627907,PB02,01,cvsa,,,ica,,,,,free,tLDA
168,0.03598141670227051,0.0043926239013671875,0.7697674418604652,PB02,01,cvsa,,,ica,,,,,free,tLDA
169,0.03747367858886719,0.00425410270690918,0.8418604651162791,PB02,01,cvsa,,,ica,,,,,free,tLDA
180,0.022594928741455078,0.003680706024169922,0.4797979797979798,PB03,01,cvsa,,,ica,,,,,overt,tLDA
181,0.03586602210998535,0.004525423049926758,0.2904040404040404,PB03,01,cvsa,,,ica,,,,,overt,tLDA
182,0.03365635871887207,0.004328250885009766,0.6515151515151516,PB03,01,cvsa,,,ica,,,,,overt,tLDA
183,0.033547401428222656,0.004096508026123047,0.5631313131313131,PB03,01,cvsa,,,ica,,,,,overt,tLDA
184,0.04415392875671387,0.00417637825012207,0.7095959595959596,PB03,01,cvsa,,,ica,,,,,overt,tLDA
185,0.038277387619018555,0.0041544437408447266,0.5,PB03,01,cvsa,,,ica,,,,,overt,tLDA
186,0.03063201904296875,0.0045206546783447266,0.6818181818181819,PB03,01,cvsa,,,ica,,,,,overt,tLDA
187,0.034882545471191406,0.004166603088378906,0.5883838383838383,PB03,01,cvsa,,,ica,,,,,overt,tLDA
188,0.03047943115234375,0.00400853157043457,0.5568181818181819,PB03,01,cvsa,,,ica,,,,,overt,tLDA
189,0.03012681007385254,0.004114627838134766,0.48295454545454547,PB03,01,cvsa,,,ica,,,,,overt,tLDA
200,0.032215118408203125,0.004243135452270508,0.711111111111111,PB03,01,cvsa,,,ica,,,,,covert,tLDA
201,0.04382467269897461,0.004387855529785156,0.471604938271605,PB03,01,cvsa,,,ica,,,,,covert,tLDA
202,0.06367826461791992,0.0045337677001953125,0.528395061728395,PB03,01,cvsa,,,ica,,,,,covert,tLDA
203,0.05743718147277832,0.0047245025634765625,0.7166666666666667,PB03,01,cvsa,,,ica,,,,,covert,tLDA
204,0.039855241775512695,0.0046689510345458984,0.6444444444444444,PB03,01,cvsa,,,ica,,,,,covert,tLDA
205,0.03442859649658203,0.007614612579345703,0.55,PB03,01,cvsa,,,ica,,,,,covert,tLDA
206,0.03639578819274902,0.004296302795410156,0.3194444444444444,PB03,01,cvsa,,,ica,,,,,covert,tLDA
207,0.03330683708190918,0.004243373870849609,0.6972222222222222,PB03,01,cvsa,,,ica,,,,,covert,tLDA
208,0.04014229774475098,0.004330158233642578,0.4015151515151515,PB03,01,cvsa,,,ica,,,,,covert,tLDA
209,0.036528587341308594,0.00447392463684082,0.5252525252525253,PB03,01,cvsa,,,ica,,,,,covert,tLDA
220,0.03519487380981445,0.00445866584777832,0.4949494949494949,PB03,01,cvsa,,,ica,,,,,free,tLDA
221,0.04171299934387207,0.004591464996337891,0.43434343434343436,PB03,01,cvsa,,,ica,,,,,free,tLDA
222,0.0420534610748291,0.004533529281616211,0.26767676767676774,PB03,01,cvsa,,,ica,,,,,free,tLDA
223,0.054593563079833984,0.005014181137084961,0.3409090909090909,PB03,01,cvsa,,,ica,,,,,free,tLDA
224,0.04816722869873047,0.004488468170166016,0.3838383838383838,PB03,01,cvsa,,,ica,,,,,free,tLDA
225,0.03781867027282715,0.005565643310546875,0.5303030303030303,PB03,01,cvsa,,,ica,,,,,free,tLDA
226,0.03850221633911133,0.004582643508911133,0.38131313131313127,PB03,01,cvsa,,,ica,,,,,free,tLDA
227,0.04098939895629883,0.0045855045318603516,0.6186868686868686,PB03,01,cvsa,,,ica,,,,,free,tLDA
228,0.03381228446960449,0.004404544830322266,0.3282828282828283,PB03,01,cvsa,,,ica,,,,,free,tLDA
229,0.03239178657531738,0.005051851272583008,0.5813953488372092,PB03,01,cvsa,,,ica,,,,,free,tLDA
240,0.025226593017578125,0.003689289093017578,0.8666666666666667,PB04,01,cvsa,,,ica,,,,,overt,tLDA
241,0.029962539672851562,0.003920078277587891,0.8722222222222221,PB04,01,cvsa,,,ica,,,,,overt,tLDA
242,0.028673171997070312,0.003960847854614258,0.8805555555555554,PB04,01,cvsa,,,ica,,,,,overt,tLDA
243,0.028365373611450195,0.0041844844818115234,0.7803030303030303,PB04,01,cvsa,,,ica,,,,,overt,tLDA
244,0.02872157096862793,0.004495143890380859,0.7878787878787878,PB04,01,cvsa,,,ica,,,,,overt,tLDA
245,0.049009084701538086,0.004230976104736328,0.7727272727272727,PB04,01,cvsa,,,ica,,,,,overt,tLDA
246,0.04075360298156738,0.004528522491455078,0.8358585858585859,PB04,01,cvsa,,,ica,,,,,overt,tLDA
247,0.029412031173706055,0.0047185420989990234,0.861111111111111,PB04,01,cvsa,,,ica,,,,,overt,tLDA
248,0.03136730194091797,0.004338502883911133,0.8434343434343434,PB04,01,cvsa,,,ica,,,,,overt,tLDA
249,0.029471635818481445,0.00429081916809082,0.8181818181818181,PB04,01,cvsa,,,ica,,,,,overt,tLDA
260,0.0317540168762207,0.004303455352783203,0.6793478260869565,PB04,01,cvsa,,,ica,,,,,covert,tLDA
261,0.04075455665588379,0.00437617301940918,0.5093167701863353,PB04,01,cvsa,,,ica,,,,,covert,tLDA
262,0.03203105926513672,0.0042994022369384766,0.5372670807453417,PB04,01,cvsa,,,ica,,,,,covert,tLDA
