,Unnamed: 0,subject,session,fold,elapsed,classifier_model,n_channels
0,0,1,,0,0.0534064769744873,stbf_kron_toep_shrunk,32
1,1,1,,1,0.0516245365142822,stbf_kron_toep_shrunk,32
2,2,1,,2,0.0635559558868408,stbf_kron_toep_shrunk,32
3,3,1,,3,0.1178836822509765,stbf_kron_toep_shrunk,32
4,4,2,,0,0.0459890365600585,stbf_kron_toep_shrunk,32
5,5,2,,1,0.0611765384674072,stbf_kron_toep_shrunk,32
6,6,2,,2,0.0619716644287109,stbf_kron_toep_shrunk,32
7,7,2,,3,0.0605828762054443,stbf_kron_toep_shrunk,32
8,8,3,,0,0.0406959056854248,stbf_kron_toep_shrunk,32
9,9,3,,1,0.0525100231170654,stbf_kron_toep_shrunk,32
10,10,3,,2,0.0549008846282959,stbf_kron_toep_shrunk,32
11,11,3,,3,0.1193928718566894,stbf_kron_toep_shrunk,32
12,12,4,,0,0.0471813678741455,stbf_kron_toep_shrunk,32
13,13,4,,1,0.1171615123748779,stbf_kron_toep_shrunk,32
14,14,4,,2,0.0537776947021484,stbf_kron_toep_shrunk,32
15,15,4,,3,0.118725299835205,stbf_kron_toep_shrunk,32
16,16,5,,0,0.0478186607360839,stbf_kron_toep_shrunk,32
17,17,5,,1,0.0591485500335693,stbf_kron_toep_shrunk,32
18,18,5,,2,0.0615136623382568,stbf_kron_toep_shrunk,32
19,19,5,,3,0.0648975372314453,stbf_kron_toep_shrunk,32
20,20,6,,0,0.0385427474975585,stbf_kron_toep_shrunk,32
21,21,6,,1,0.0630640983581543,stbf_kron_toep_shrunk,32
22,22,6,,2,0.0648283958435058,stbf_kron_toep_shrunk,32
23,23,6,,3,0.0647728443145752,stbf_kron_toep_shrunk,32
24,24,7,,0,0.0388081073760986,stbf_kron_toep_shrunk,32
25,25,7,,1,0.0620894432067871,stbf_kron_toep_shrunk,32
26,26,7,,2,0.0637714862823486,stbf_kron_toep_shrunk,32
27,27,7,,3,0.0644388198852539,stbf_kron_toep_shrunk,32
28,28,8,,0,0.0385606288909912,stbf_kron_toep_shrunk,32
29,29,8,,1,0.0613901615142822,stbf_kron_toep_shrunk,32
30,30,8,,2,0.0635204315185546,stbf_kron_toep_shrunk,32
31,31,8,,3,0.0633940696716308,stbf_kron_toep_shrunk,32
32,32,9,,0,0.0393884181976318,stbf_kron_toep_shrunk,32
33,33,9,,1,0.0609402656555175,stbf_kron_toep_shrunk,32
34,34,9,,2,0.0627214908599853,stbf_kron_toep_shrunk,32
35,35,9,,3,0.0643777847290039,stbf_kron_toep_shrunk,32
36,36,10,,0,0.0380694866180419,stbf_kron_toep_shrunk,32
37,37,10,,1,0.0608534812927246,stbf_kron_toep_shrunk,32
38,38,10,,2,0.0624756813049316,stbf_kron_toep_shrunk,32
39,39,10,,3,0.0660347938537597,stbf_kron_toep_shrunk,32
40,40,11,,0,0.0435235500335693,stbf_kron_toep_shrunk,32
41,41,11,,1,0.0610289573669433,stbf_kron_toep_shrunk,32
42,42,11,,2,0.0664958953857421,stbf_kron_toep_shrunk,32
43,43,11,,3,0.1137490272521972,stbf_kron_toep_shrunk,32
44,44,12,,0,0.0470976829528808,stbf_kron_toep_shrunk,32
45,45,12,,1,0.1290979385375976,stbf_kron_toep_shrunk,32
46,46,12,,2,0.0788156986236572,stbf_kron_toep_shrunk,32
47,47,12,,3,0.0553102493286132,stbf_kron_toep_shrunk,32
48,48,13,,0,0.0473530292510986,stbf_kron_toep_shrunk,32
49,49,13,,1,0.110356330871582,stbf_kron_toep_shrunk,32
50,50,13,,2,0.1060233116149902,stbf_kron_toep_shrunk,32
51,51,13,,3,0.1062624454498291,stbf_kron_toep_shrunk,32
52,52,14,,0,0.0560548305511474,stbf_kron_toep_shrunk,32
53,53,14,,1,0.0591213703155517,stbf_kron_toep_shrunk,32
54,54,14,,2,0.1080877780914306,stbf_kron_toep_shrunk,32
55,55,14,,3,0.110403299331665,stbf_kron_toep_shrunk,32
56,56,15,,0,0.0389912128448486,stbf_kron_toep_shrunk,32
57,57,15,,1,0.061049461364746,stbf_kron_toep_shrunk,32
58,58,15,,2,0.065742015838623,stbf_kron_toep_shrunk,32
59,59,15,,3,0.0629630088806152,stbf_kron_toep_shrunk,32
60,60,16,,0,0.0531365871429443,stbf_kron_toep_shrunk,32
61,61,16,,1,0.1275012493133545,stbf_kron_toep_shrunk,32
62,62,16,,2,0.0547542572021484,stbf_kron_toep_shrunk,32
63,63,16,,3,0.0538909435272216,stbf_kron_toep_shrunk,32
64,64,17,,0,0.0526454448699951,stbf_kron_toep_shrunk,32
65,65,17,,1,0.0607473850250244,stbf_kron_toep_shrunk,32
66,66,17,,2,0.065974473953247,stbf_kron_toep_shrunk,32
67,67,17,,3,0.0658512115478515,stbf_kron_toep_shrunk,32
68,68,18,,0,0.0542490482330322,stbf_kron_toep_shrunk,32
69,69,18,,1,0.062408447265625,stbf_kron_toep_shrunk,32
70,70,18,,2,0.0680873394012451,stbf_kron_toep_shrunk,32
71,71,18,,3,0.0630333423614502,stbf_kron_toep_shrunk,32
72,72,19,,0,0.0399887561798095,stbf_kron_toep_shrunk,32
73,73,19,,1,0.0646314620971679,stbf_kron_toep_shrunk,32
74,74,19,,2,0.0653040409088134,stbf_kron_toep_shrunk,32
75,75,19,,3,0.0660703182220459,stbf_kron_toep_shrunk,32
76,76,20,,0,0.0409278869628906,stbf_kron_toep_shrunk,32
77,77,20,,1,0.0535449981689453,stbf_kron_toep_shrunk,32
78,78,20,,2,0.0546746253967285,stbf_kron_toep_shrunk,32
79,79,20,,3,0.0784270763397216,stbf_kron_toep_shrunk,32
80,80,21,,0,0.0397179126739501,stbf_kron_toep_shrunk,32
81,81,21,,1,0.0643894672393798,stbf_kron_toep_shrunk,32
82,82,21,,2,0.0717506408691406,stbf_kron_toep_shrunk,32
83,83,21,,3,0.066838264465332,stbf_kron_toep_shrunk,32
84,0,1,,0,0.2889440059661865,stbf_loocv,32
85,1,1,,1,0.3526043891906738,stbf_loocv,32
86,2,1,,2,0.3255980014801025,stbf_loocv,32
87,3,1,,3,0.4962375164031982,stbf_loocv,32
88,4,2,,0,0.2515821456909179,stbf_loocv,32
89,5,2,,1,0.370410680770874,stbf_loocv,32
90,6,2,,2,0.2888164520263672,stbf_loocv,32
91,7,2,,3,0.3318121433258056,stbf_loocv,32
92,8,3,,0,0.3481347560882568,stbf_loocv,32
93,9,3,,1,0.3025672435760498,stbf_loocv,32
94,10,3,,2,0.4366765022277832,stbf_loocv,32
95,11,3,,3,0.4621446132659912,stbf_loocv,32
96,12,4,,0,0.2087118625640869,stbf_loocv,32
97,13,4,,1,0.2802119255065918,stbf_loocv,32
98,14,4,,2,0.3530662059783935,stbf_loocv,32
99,15,4,,3,0.3267254829406738,stbf_loocv,32
100,16,5,,0,0.2905645370483398,stbf_loocv,32
101,17,5,,1,0.8341069221496582,stbf_loocv,32
102,18,5,,2,0.3431320190429687,stbf_loocv,32
103,19,5,,3,0.2668044567108154,stbf_loocv,32
104,20,6,,0,0.3127260208129883,stbf_loocv,32
105,21,6,,1,0.347637414932251,stbf_loocv,32
106,22,6,,2,0.3207921981811523,stbf_loocv,32
107,23,6,,3,0.336200475692749,stbf_loocv,32
108,24,7,,0,0.4986915588378906,stbf_loocv,32
109,25,7,,1,0.3331048488616943,stbf_loocv,32
110,26,7,,2,0.3421294689178467,stbf_loocv,32
111,27,7,,3,0.3386476039886474,stbf_loocv,32
112,28,8,,0,0.2544877529144287,stbf_loocv,32
113,29,8,,1,0.3332252502441406,stbf_loocv,32
114,30,8,,2,0.3612663745880127,stbf_loocv,32
115,31,8,,3,0.4253010749816894,stbf_loocv,32
116,32,9,,0,0.3621902465820312,stbf_loocv,32
117,33,9,,1,0.3174562454223633,stbf_loocv,32
118,34,9,,2,0.3410487174987793,stbf_loocv,32
119,35,9,,3,0.3264269828796386,stbf_loocv,32
120,36,10,,0,0.2517001628875732,stbf_loocv,32
121,37,10,,1,0.3502781391143799,stbf_loocv,32
122,38,10,,2,0.336500883102417,stbf_loocv,32
123,39,10,,3,0.6600708961486816,stbf_loocv,32
124,40,11,,0,0.2354438304901123,stbf_loocv,32
125,41,11,,1,0.5221438407897949,stbf_loocv,32
126,42,11,,2,0.282914400100708,stbf_loocv,32
127,43,11,,3,0.2768568992614746,stbf_loocv,32
128,44,12,,0,0.2529397010803222,stbf_loocv,32
129,45,12,,1,0.2491683959960937,stbf_loocv,32
130,46,12,,2,0.491215705871582,stbf_loocv,32
131,47,12,,3,0.4023125171661377,stbf_loocv,32
132,48,13,,0,0.2553319931030273,stbf_loocv,32
133,49,13,,1,0.2832717895507812,stbf_loocv,32
134,50,13,,2,0.3195314407348633,stbf_loocv,32
135,51,13,,3,0.2636117935180664,stbf_loocv,32
136,52,14,,0,0.3178937435150146,stbf_loocv,32
137,53,14,,1,0.5359899997711182,stbf_loocv,32
138,54,14,,2,0.3353579044342041,stbf_loocv,32
139,55,14,,3,0.3984870910644531,stbf_loocv,32
140,56,15,,0,0.1977863311767578,stbf_loocv,32
141,57,15,,1,0.1960363388061523,stbf_loocv,32
142,58,15,,2,0.3838174343109131,stbf_loocv,32
143,59,15,,3,0.3213999271392822,stbf_loocv,32
144,60,16,,0,0.5276970863342285,stbf_loocv,32
145,61,16,,1,0.4626669883728027,stbf_loocv,32
146,62,16,,2,0.3354396820068359,stbf_loocv,32
147,63,16,,3,0.2990870475769043,stbf_loocv,32
148,64,17,,0,0.2277798652648925,stbf_loocv,32
149,65,17,,1,0.2964155673980713,stbf_loocv,32
150,66,17,,2,0.3817336559295654,stbf_loocv,32
151,67,17,,3,0.3334815502166748,stbf_loocv,32
152,68,18,,0,0.2984542846679687,stbf_loocv,32
153,69,18,,1,0.2558636665344238,stbf_loocv,32
154,70,18,,2,0.3209583759307861,stbf_loocv,32
155,71,18,,3,0.4168546199798584,stbf_loocv,32
156,72,19,,0,0.2668831348419189,stbf_loocv,32
157,73,19,,1,0.3691775798797607,stbf_loocv,32
158,74,19,,2,0.3669521808624267,stbf_loocv,32
159,75,19,,3,0.4829442501068115,stbf_loocv,32
160,76,20,,0,0.3272955417633056,stbf_loocv,32
161,77,20,,1,0.3363709449768066,stbf_loocv,32
162,78,20,,2,0.4629571437835693,stbf_loocv,32
163,79,20,,3,0.4460082054138183,stbf_loocv,32
164,80,21,,0,0.2641611099243164,stbf_loocv,32
165,81,21,,1,0.5101850032806396,stbf_loocv,32
166,82,21,,2,0.3987045288085937,stbf_loocv,32
167,83,21,,3,0.2089979648590088,stbf_loocv,32
168,0,1,,0,0.238527774810791,stbf_emp,32
169,1,1,,1,0.3080899715423584,stbf_emp,32
170,2,1,,2,0.2737574577331543,stbf_emp,32
171,3,1,,3,0.2968595027923584,stbf_emp,32
172,4,2,,0,0.4328813552856445,stbf_emp,32
173,5,2,,1,0.360234260559082,stbf_emp,32
174,6,2,,2,0.3290894031524658,stbf_emp,32
175,7,2,,3,0.2560617923736572,stbf_emp,32
176,8,3,,0,0.2054879665374755,stbf_emp,32
177,9,3,,1,0.3767595291137695,stbf_emp,32
178,10,3,,2,0.2499246597290039,stbf_emp,32
179,11,3,,3,0.4480631351470947,stbf_emp,32
180,12,4,,0,0.2505731582641601,stbf_emp,32
181,13,4,,1,0.3515498638153076,stbf_emp,32
182,14,4,,2,0.3059420585632324,stbf_emp,32
183,15,4,,3,0.277294397354126,stbf_emp,32
184,16,5,,0,0.2524304389953613,stbf_emp,32
185,17,5,,1,0.254725694656372,stbf_emp,32
186,18,5,,2,0.3869438171386719,stbf_emp,32
187,19,5,,3,0.3921875953674316,stbf_emp,32
188,20,6,,0,0.2222390174865722,stbf_emp,32
189,21,6,,1,0.2845640182495117,stbf_emp,32
190,22,6,,2,0.3050041198730469,stbf_emp,32
191,23,6,,3,0.3660504817962646,stbf_emp,32
192,24,7,,0,0.2496876716613769,stbf_emp,32
193,25,7,,1,0.3124237060546875,stbf_emp,32
194,26,7,,2,0.7444102764129639,stbf_emp,32
195,27,7,,3,0.3102726936340332,stbf_emp,32
196,28,8,,0,0.2322869300842285,stbf_emp,32
197,29,8,,1,0.2734856605529785,stbf_emp,32
198,30,8,,2,0.2389435768127441,stbf_emp,32
199,31,8,,3,0.1778674125671386,stbf_emp,32
200,32,9,,0,0.1369872093200683,stbf_emp,32
201,33,9,,1,0.2140159606933593,stbf_emp,32
202,34,9,,2,0.7079854011535645,stbf_emp,32
203,35,9,,3,0.3787870407104492,stbf_emp,32
204,36,10,,0,0.2195081710815429,stbf_emp,32
205,37,10,,1,0.3283326625823974,stbf_emp,32
206,38,10,,2,0.2772941589355469,stbf_emp,32
207,39,10,,3,0.2742879390716553,stbf_emp,32
208,40,11,,0,0.2370345592498779,stbf_emp,32
209,41,11,,1,0.2983453273773193,stbf_emp,32
210,42,11,,2,0.3373334407806396,stbf_emp,32
211,43,11,,3,0.399625301361084,stbf_emp,32
212,44,12,,0,0.2193169593811035,stbf_emp,32
213,45,12,,1,0.2779271602630615,stbf_emp,32
214,46,12,,2,0.3360154628753662,stbf_emp,32
215,47,12,,3,0.2212755680084228,stbf_emp,32
216,48,13,,0,0.1701366901397705,stbf_emp,32
217,49,13,,1,0.3068938255310058,stbf_emp,32
218,50,13,,2,0.4532716274261474,stbf_emp,32
219,51,13,,3,0.4912028312683105,stbf_emp,32
220,52,14,,0,0.2894849777221679,stbf_emp,32
221,53,14,,1,0.356722354888916,stbf_emp,32
222,54,14,,2,0.3162412643432617,stbf_emp,32
223,55,14,,3,0.3145787715911865,stbf_emp,32
224,56,15,,0,0.2052075862884521,stbf_emp,32
225,57,15,,1,0.4557077884674072,stbf_emp,32
226,58,15,,2,0.3028924465179443,stbf_emp,32
227,59,15,,3,0.2940101623535156,stbf_emp,32
228,60,16,,0,0.2614533901214599,stbf_emp,32
229,61,16,,1,0.2966170310974121,stbf_emp,32
230,62,16,,2,0.312114953994751,stbf_emp,32
231,63,16,,3,0.2924892902374267,stbf_emp,32
232,64,17,,0,0.5782561302185059,stbf_emp,32
233,65,17,,1,0.3364412784576416,stbf_emp,32
234,66,17,,2,0.3245749473571777,stbf_emp,32
235,67,17,,3,0.2718963623046875,stbf_emp,32
236,68,18,,0,0.2286148071289062,stbf_emp,32
237,69,18,,1,0.3666539192199707,stbf_emp,32
238,70,18,,2,0.2846062183380127,stbf_emp,32
239,71,18,,3,0.3693115711212158,stbf_emp,32
240,72,19,,0,0.3385493755340576,stbf_emp,32
241,73,19,,1,0.3096511363983154,stbf_emp,32
242,74,19,,2,0.3019766807556152,stbf_emp,32
243,75,19,,3,0.3805971145629883,stbf_emp,32
244,76,20,,0,0.2218470573425293,stbf_emp,32
245,77,20,,1,0.2858498096466064,stbf_emp,32
246,78,20,,2,0.2495265007019043,stbf_emp,32
247,79,20,,3,0.4073445796966553,stbf_emp,32
248,80,21,,0,0.3331508636474609,stbf_emp,32
249,81,21,,1,0.287916898727417,stbf_emp,32
250,82,21,,2,0.2865583896636963,stbf_emp,32
251,83,21,,3,0.3334581851959228,stbf_emp,32
252,0,1,,0,0.9796395301818848,xdawn_rg,32
253,1,1,,1,1.025726556777954,xdawn_rg,32
254,2,1,,2,1.085319995880127,xdawn_rg,32
255,3,1,,3,0.990797758102417,xdawn_rg,32
256,4,2,,0,0.935957670211792,xdawn_rg,32
257,5,2,,1,0.9863245487213136,xdawn_rg,32
258,6,2,,2,0.9977047443389891,xdawn_rg,32
259,7,2,,3,0.988243579864502,xdawn_rg,32
260,8,3,,0,1.0390121936798096,xdawn_rg,32
261,9,3,,1,1.0993385314941406,xdawn_rg,32
262,10,3,,2,1.077350616455078,xdawn_rg,32
263,11,3,,3,1.082688808441162,xdawn_rg,32
264,12,4,,0,0.9492778778076172,xdawn_rg,32
265,13,4,,1,1.027359962463379,xdawn_rg,32
266,14,4,,2,0.9867968559265136,xdawn_rg,32
267,15,4,,3,0.989572286605835,xdawn_rg,32
268,16,5,,0,1.0354275703430176,xdawn_rg,32
269,17,5,,1,1.0739786624908447,xdawn_rg,32
270,18,5,,2,1.073890209197998,xdawn_rg,32
271,19,5,,3,0.99690580368042,xdawn_rg,32
272,20,6,,0,0.9534118175506592,xdawn_rg,32
273,21,6,,1,0.9975183010101318,xdawn_rg,32
274,22,6,,2,0.9913103580474854,xdawn_rg,32
275,23,6,,3,0.9961023330688475,xdawn_rg,32
276,24,7,,0,0.9525980949401855,xdawn_rg,32
277,25,7,,1,1.0115070343017578,xdawn_rg,32
278,26,7,,2,0.9967153072357178,xdawn_rg,32
279,27,7,,3,0.9933161735534668,xdawn_rg,32
280,28,8,,0,1.0500781536102295,xdawn_rg,32
281,29,8,,1,1.006850242614746,xdawn_rg,32
282,30,8,,2,1.091724157333374,xdawn_rg,32
283,31,8,,3,1.102238655090332,xdawn_rg,32
284,32,9,,0,1.1016461849212646,xdawn_rg,32
285,33,9,,1,1.0304524898529053,xdawn_rg,32
286,34,9,,2,1.0262792110443115,xdawn_rg,32
287,35,9,,3,1.0368754863739014,xdawn_rg,32
288,36,10,,0,1.0701608657836914,xdawn_rg,32
289,37,10,,1,1.1335546970367432,xdawn_rg,32
290,38,10,,2,1.1306345462799072,xdawn_rg,32
291,39,10,,3,1.0360205173492432,xdawn_rg,32
292,40,11,,0,0.9880828857421876,xdawn_rg,32
293,41,11,,1,1.0344903469085691,xdawn_rg,32
294,42,11,,2,1.0518090724945068,xdawn_rg,32
295,43,11,,3,1.0441300868988037,xdawn_rg,32
296,44,12,,0,0.9846160411834716,xdawn_rg,32
297,45,12,,1,1.031623601913452,xdawn_rg,32
298,46,12,,2,1.1276917457580566,xdawn_rg,32
299,47,12,,3,1.1190109252929688,xdawn_rg,32
300,48,13,,0,0.9712774753570556,xdawn_rg,32
301,49,13,,1,1.045020580291748,xdawn_rg,32
302,50,13,,2,1.029393196105957,xdawn_rg,32
303,51,13,,3,1.0385353565216064,xdawn_rg,32
304,52,14,,0,0.9777579307556152,xdawn_rg,32
305,53,14,,1,1.146557331085205,xdawn_rg,32
306,54,14,,2,1.1188850402832031,xdawn_rg,32
307,55,14,,3,1.115408182144165,xdawn_rg,32
308,56,15,,0,1.018381118774414,xdawn_rg,32
309,57,15,,1,1.1428871154785156,xdawn_rg,32
310,58,15,,2,1.0708999633789062,xdawn_rg,32
311,59,15,,3,1.0754046440124512,xdawn_rg,32
312,60,16,,0,1.107842206954956,xdawn_rg,32
313,61,16,,1,1.2143652439117432,xdawn_rg,32
314,62,16,,2,1.0613315105438232,xdawn_rg,32
315,63,16,,3,1.038558006286621,xdawn_rg,32
316,64,17,,0,0.981156587600708,xdawn_rg,32
317,65,17,,1,1.046159267425537,xdawn_rg,32
318,66,17,,2,1.0624291896820068,xdawn_rg,32
319,67,17,,3,1.0517926216125488,xdawn_rg,32
320,68,18,,0,0.984462022781372,xdawn_rg,32
321,69,18,,1,1.116821050643921,xdawn_rg,32
322,70,18,,2,1.1322429180145264,xdawn_rg,32
323,71,18,,3,1.1434929370880127,xdawn_rg,32
324,72,19,,0,1.0303828716278076,xdawn_rg,32
325,73,19,,1,1.0574824810028076,xdawn_rg,32
326,74,19,,2,1.054769515991211,xdawn_rg,32
327,75,19,,3,1.0478334426879885,xdawn_rg,32
328,76,20,,0,0.9912371635437012,xdawn_rg,32
329,77,20,,1,1.0736510753631592,xdawn_rg,32
330,78,20,,2,1.040323257446289,xdawn_rg,32
331,79,20,,3,1.0445189476013184,xdawn_rg,32
332,80,21,,0,0.9864096641540528,xdawn_rg,32
333,81,21,,1,1.0608365535736084,xdawn_rg,32
334,82,21,,2,1.055227518081665,xdawn_rg,32
335,83,21,,3,1.0402860641479492,xdawn_rg,32
